
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:52198        127.0.0.1:63961        ESTABLISHED
  TCP    127.0.0.1:58927        127.0.0.1:65001        ESTABLISHED
  TCP    127.0.0.1:63961        127.0.0.1:52198        ESTABLISHED
  TCP    127.0.0.1:65001        127.0.0.1:58927        ESTABLISHED
  TCP    192.168.1.20:50146     117.18.232.200:443     CLOSE_WAIT
  TCP    192.168.1.20:50377     129.227.216.4:443      CLOSE_WAIT
  TCP    192.168.1.20:51505     142.250.199.170:443    ESTABLISHED
  TCP    192.168.1.20:51506     104.18.23.52:443       ESTABLISHED
  TCP    192.168.1.20:51507     151.101.153.229:443    ESTABLISHED
  TCP    192.168.1.20:51508     104.21.30.41:443       ESTABLISHED
  TCP    192.168.1.20:51509     172.217.166.67:443     ESTABLISHED
  TCP    192.168.1.20:55563     192.168.56.2:80        SYN_SENT
  TCP    192.168.1.20:55564     192.168.56.3:80        SYN_SENT
  TCP    192.168.1.20:55565     192.168.56.4:80        SYN_SENT
  TCP    192.168.1.20:55566     192.168.56.5:80        SYN_SENT
  TCP    192.168.1.20:55567     192.168.56.6:80        SYN_SENT
  TCP    192.168.1.20:55568     192.168.56.7:80        SYN_SENT
  TCP    192.168.1.20:55569     192.168.56.8:80        SYN_SENT
  TCP    192.168.1.20:55570     192.168.56.9:80        SYN_SENT
  TCP    192.168.1.20:55571     192.168.56.10:80       SYN_SENT
  TCP    192.168.1.20:55572     192.168.56.11:80       SYN_SENT
  TCP    192.168.1.20:55573     192.168.56.12:80       SYN_SENT
  TCP    192.168.1.20:55574     192.168.56.13:80       SYN_SENT
  TCP    192.168.1.20:55575     192.168.56.14:80       SYN_SENT
  TCP    192.168.1.20:55576     192.168.56.15:80       SYN_SENT
  TCP    192.168.1.20:55577     192.168.56.16:80       SYN_SENT
  TCP    192.168.1.20:55578     192.168.56.17:80       SYN_SENT
  TCP    192.168.1.20:55579     192.168.56.18:80       SYN_SENT
  TCP    192.168.1.20:55580     192.168.56.19:80       SYN_SENT
  TCP    192.168.1.20:55581     192.168.56.20:80       SYN_SENT
  TCP    192.168.1.20:55582     192.168.56.21:80       SYN_SENT
  TCP    192.168.1.20:55583     192.168.56.22:80       SYN_SENT
  TCP    192.168.1.20:55584     192.168.56.23:80       SYN_SENT
  TCP    192.168.1.20:55585     192.168.56.24:80       SYN_SENT
  TCP    192.168.1.20:55586     192.168.56.25:80       SYN_SENT
  TCP    192.168.1.20:55587     192.168.56.26:80       SYN_SENT
  TCP    192.168.1.20:55588     192.168.56.27:80       SYN_SENT
  TCP    192.168.1.20:55589     192.168.56.28:80       SYN_SENT
  TCP    192.168.1.20:55590     192.168.56.29:80       SYN_SENT
  TCP    192.168.1.20:55591     192.168.56.30:80       SYN_SENT
  TCP    192.168.1.20:55592     192.168.56.31:80       SYN_SENT
  TCP    192.168.1.20:55593     192.168.56.32:80       SYN_SENT
  TCP    192.168.1.20:55594     192.168.56.33:80       SYN_SENT
  TCP    192.168.1.20:55595     192.168.56.34:80       SYN_SENT
  TCP    192.168.1.20:55596     192.168.56.35:80       SYN_SENT
  TCP    192.168.1.20:55597     192.168.56.36:80       SYN_SENT
  TCP    192.168.1.20:55598     192.168.56.37:80       SYN_SENT
  TCP    192.168.1.20:55599     192.168.56.38:80       SYN_SENT
  TCP    192.168.1.20:55600     192.168.56.39:80       SYN_SENT
  TCP    192.168.1.20:55601     192.168.56.40:80       SYN_SENT
  TCP    192.168.1.20:55602     192.168.56.41:80       SYN_SENT
  TCP    192.168.1.20:55603     192.168.56.42:80       SYN_SENT
  TCP    192.168.1.20:55604     192.168.56.43:80       SYN_SENT
  TCP    192.168.1.20:55605     192.168.56.44:80       SYN_SENT
  TCP    192.168.1.20:55606     192.168.56.45:80       SYN_SENT
  TCP    192.168.1.20:55607     192.168.56.46:80       SYN_SENT
  TCP    192.168.1.20:55608     192.168.56.47:80       SYN_SENT
  TCP    192.168.1.20:55609     192.168.56.48:80       SYN_SENT
  TCP    192.168.1.20:55610     192.168.56.49:80       SYN_SENT
  TCP    192.168.1.20:55611     192.168.56.50:80       SYN_SENT
  TCP    192.168.1.20:55612     192.168.56.51:80       SYN_SENT
  TCP    192.168.1.20:55613     192.168.56.52:80       SYN_SENT
  TCP    192.168.1.20:55614     192.168.56.53:80       SYN_SENT
  TCP    192.168.1.20:55615     192.168.56.54:80       SYN_SENT
  TCP    192.168.1.20:55616     192.168.56.55:80       SYN_SENT
  TCP    192.168.1.20:55617     192.168.56.56:80       SYN_SENT
  TCP    192.168.1.20:55618     192.168.56.57:80       SYN_SENT
  TCP    192.168.1.20:55619     192.168.56.58:80       SYN_SENT
  TCP    192.168.1.20:55620     192.168.56.59:80       SYN_SENT
  TCP    192.168.1.20:55621     192.168.56.60:80       SYN_SENT
  TCP    192.168.1.20:55622     192.168.56.61:80       SYN_SENT
  TCP    192.168.1.20:55623     192.168.56.62:80       SYN_SENT
  TCP    192.168.1.20:55624     192.168.56.63:80       SYN_SENT
  TCP    192.168.1.20:55625     192.168.56.64:80       SYN_SENT
  TCP    192.168.1.20:55626     192.168.56.65:80       SYN_SENT
  TCP    192.168.1.20:55627     192.168.56.66:80       SYN_SENT
  TCP    192.168.1.20:55628     192.168.56.67:80       SYN_SENT
  TCP    192.168.1.20:55629     192.168.56.68:80       SYN_SENT
  TCP    192.168.1.20:55630     192.168.56.69:80       SYN_SENT
  TCP    192.168.1.20:55631     192.168.56.70:80       SYN_SENT
  TCP    192.168.1.20:55632     192.168.56.71:80       SYN_SENT
  TCP    192.168.1.20:55633     192.168.56.72:80       SYN_SENT
  TCP    192.168.1.20:55634     192.168.56.73:80       SYN_SENT
  TCP    192.168.1.20:55635     192.168.56.74:80       SYN_SENT
  TCP    192.168.1.20:55636     192.168.56.75:80       SYN_SENT
  TCP    192.168.1.20:55637     192.168.56.76:80       SYN_SENT
  TCP    192.168.1.20:55638     192.168.56.77:80       SYN_SENT
  TCP    192.168.1.20:55639     192.168.56.78:80       SYN_SENT
  TCP    192.168.1.20:55640     192.168.56.79:80       SYN_SENT
  TCP    192.168.1.20:55641     192.168.56.80:80       SYN_SENT
  TCP    192.168.1.20:55642     192.168.56.81:80       SYN_SENT
  TCP    192.168.1.20:55643     192.168.56.82:80       SYN_SENT
  TCP    192.168.1.20:55644     192.168.56.83:80       SYN_SENT
  TCP    192.168.1.20:55645     192.168.56.84:80       SYN_SENT
  TCP    192.168.1.20:55646     192.168.56.85:80       SYN_SENT
  TCP    192.168.1.20:55647     192.168.56.86:80       SYN_SENT
  TCP    192.168.1.20:55648     192.168.56.87:80       SYN_SENT
  TCP    192.168.1.20:55649     192.168.56.88:80       SYN_SENT
  TCP    192.168.1.20:55650     192.168.56.89:80       SYN_SENT
  TCP    192.168.1.20:55651     192.168.56.90:80       SYN_SENT
  TCP    192.168.1.20:55652     192.168.56.91:80       SYN_SENT
  TCP    192.168.1.20:55653     192.168.56.92:80       SYN_SENT
  TCP    192.168.1.20:55654     192.168.56.93:80       SYN_SENT
  TCP    192.168.1.20:55655     192.168.56.94:80       SYN_SENT
  TCP    192.168.1.20:55656     192.168.56.95:80       SYN_SENT
  TCP    192.168.1.20:55657     192.168.56.96:80       SYN_SENT
  TCP    192.168.1.20:55658     192.168.56.97:80       SYN_SENT
  TCP    192.168.1.20:55659     192.168.56.98:80       SYN_SENT
  TCP    192.168.1.20:55660     192.168.56.99:80       SYN_SENT
  TCP    192.168.1.20:55661     192.168.56.100:80      SYN_SENT
  TCP    192.168.1.20:55662     192.168.56.101:80      SYN_SENT
  TCP    192.168.1.20:55663     192.168.56.102:80      SYN_SENT
  TCP    192.168.1.20:55664     192.168.56.103:80      SYN_SENT
  TCP    192.168.1.20:55665     192.168.56.104:80      SYN_SENT
  TCP    192.168.1.20:55666     192.168.56.105:80      SYN_SENT
  TCP    192.168.1.20:55667     192.168.56.106:80      SYN_SENT
  TCP    192.168.1.20:55668     192.168.56.107:80      SYN_SENT
  TCP    192.168.1.20:55669     192.168.56.108:80      SYN_SENT
  TCP    192.168.1.20:55670     192.168.56.109:80      SYN_SENT
  TCP    192.168.1.20:55671     192.168.56.110:80      SYN_SENT
  TCP    192.168.1.20:55672     192.168.56.111:80      SYN_SENT
  TCP    192.168.1.20:55673     192.168.56.112:80      SYN_SENT
  TCP    192.168.1.20:55674     192.168.56.113:80      SYN_SENT
  TCP    192.168.1.20:55675     192.168.56.114:80      SYN_SENT
  TCP    192.168.1.20:55676     192.168.56.115:80      SYN_SENT
  TCP    192.168.1.20:55677     192.168.56.116:80      SYN_SENT
  TCP    192.168.1.20:55678     192.168.56.117:80      SYN_SENT
  TCP    192.168.1.20:55679     192.168.56.118:80      SYN_SENT
  TCP    192.168.1.20:55680     192.168.56.119:80      SYN_SENT
  TCP    192.168.1.20:55681     192.168.56.120:80      SYN_SENT
  TCP    192.168.1.20:55682     192.168.56.121:80      SYN_SENT
  TCP    192.168.1.20:55683     192.168.56.122:80      SYN_SENT
  TCP    192.168.1.20:55684     192.168.56.123:80      SYN_SENT
  TCP    192.168.1.20:55685     192.168.56.124:80      SYN_SENT
  TCP    192.168.1.20:55686     192.168.56.125:80      SYN_SENT
  TCP    192.168.1.20:55687     192.168.56.126:80      SYN_SENT
