
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:1043         127.0.0.1:49687        ESTABLISHED
  TCP    127.0.0.1:9012         127.0.0.1:49701        ESTABLISHED
  TCP    127.0.0.1:9487         127.0.0.1:49680        ESTABLISHED
  TCP    127.0.0.1:49675        127.0.0.1:49676        ESTABLISHED
  TCP    127.0.0.1:49676        127.0.0.1:49675        ESTABLISHED
  TCP    127.0.0.1:49680        127.0.0.1:9487         ESTABLISHED
  TCP    127.0.0.1:49687        127.0.0.1:1043         ESTABLISHED
  TCP    127.0.0.1:49701        127.0.0.1:9012         ESTABLISHED
  TCP    192.168.1.12:49670     20.198.162.78:443      ESTABLISHED
  TCP    192.168.1.12:51177     162.159.133.234:443    ESTABLISHED
  TCP    192.168.1.12:51278     74.125.68.188:5228     ESTABLISHED
  TCP    192.168.1.12:51295     52.200.147.245:443     ESTABLISHED
  TCP    192.168.1.12:51335     31.13.79.53:443        ESTABLISHED
  TCP    192.168.1.12:51375     151.101.129.69:443     ESTABLISHED
  TCP    192.168.1.12:51376     151.101.193.69:443     ESTABLISHED
  TCP    192.168.1.12:51378     151.101.120.193:443    ESTABLISHED
  TCP    192.168.1.12:51388     199.232.253.140:443    ESTABLISHED
  TCP    192.168.1.12:51389     35.227.206.50:443      ESTABLISHED
  TCP    192.168.1.12:51390     199.232.253.140:443    ESTABLISHED
  TCP    192.168.1.12:51391     199.232.253.140:443    ESTABLISHED
  TCP    192.168.1.12:51393     34.105.225.79:443      ESTABLISHED
  TCP    192.168.1.12:51399     103.10.124.162:27025   ESTABLISHED
  TCP    192.168.1.12:51403     23.55.245.17:443       ESTABLISHED
  TCP    192.168.1.12:51429     117.18.237.29:80       TIME_WAIT
  TCP    192.168.1.12:51430     23.9.218.78:443        ESTABLISHED
  TCP    192.168.1.12:51431     23.9.218.78:443        ESTABLISHED
  TCP    192.168.1.12:51432     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:51433     23.215.215.9:443       ESTABLISHED
  TCP    192.168.1.12:51434     23.215.215.9:443       ESTABLISHED
  TCP    192.168.1.12:51435     23.215.215.9:443       ESTABLISHED
  TCP    192.168.1.12:51436     23.215.215.9:443       ESTABLISHED
  TCP    192.168.1.12:51437     23.215.215.9:443       ESTABLISHED
  TCP    192.168.1.12:51440     23.215.215.9:443       ESTABLISHED
  TCP    192.168.1.12:51445     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:51446     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:51447     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:51448     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:51449     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:51450     104.108.159.11:443     ESTABLISHED
  TCP    192.168.1.12:63056     162.159.128.235:443    ESTABLISHED
  TCP    192.168.1.12:65388     162.159.129.235:443    ESTABLISHED
  TCP    192.168.1.12:65389     35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.12:65390     35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.12:65391     35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.12:65392     35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.12:65393     35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.12:65394     104.18.23.52:443       ESTABLISHED
